Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,..,0.00472257,0.0045614,0.0878913,0.105809,1.22415,2.10712,1.9,1.84,3.55,4,5,5.45455,5.9,7,8.26,11,13.5,16.8,17.6,18.4,..,..,..
Albania,ALB,0.114097,0.325798,0.390081,0.9719,2.42039,6.04389,9.60999,15.0361,23.86,41.2,45,47,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.5504,72.2377,79.3237,82.6137,83.1356
Algeria,DZA,0.491706,0.646114,1.59164,2.19536,4.63448,5.84394,7.37598,9.45119,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.9455,47.6911,49.0385,58.9776,60.6534,66.2356,71.2432,..
American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,10.5388,..,11.2605,13.5464,26.838,37.6058,48.9368,70.87,70.04,78.53,81,81,82.7,84.4,86.1,87.9,89.7,91.5675,..,90.7187,93.2056,93.8975,94.4855,..
Angola,AGO,0.105046,0.136014,0.270377,0.370682,0.464815,1.14337,1.5,1.7,1.9,2.3,2.8,4.7,7.7,13,21.3623,22,23.2,26,29,32.1294,36.6347,37.8067,39.2935,..
Antigua and Barbuda,ATG,6.48223,8.89929,12.5,17.2286,24.2665,27,30,34,38,42,47,52,58,63.4,67.78,70,73,76.2,79.6,83.2,86.8837,87.074,91.4123,..
Argentina,ARG,7.03868,9.78081,10.8821,11.9137,16.0367,17.7206,20.9272,25.9466,28.1126,34,45,51,55.8,59.9,64.7,68.0431,70.969,74.2949,77.7,79.947,85.5144,87.1507,88.3754,89.229
Armenia,ARM,1.30047,1.63109,1.96041,4.57522,4.89901,5.25298,5.63179,6.02125,6.21,15.3,25,32,37.5,41.9,54.6228,59.1008,64.346,64.7449,68.2451,66.5439,76.5077,78.6123,77.0277,..
Aruba,ABW,15.4428,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74,78.9,83.78,88.6612,93.5425,97.17,..,..,..,..,..,..
Australia,AUS,46.7561,52.6893,..,..,..,63,66,69.45,71.67,74.25,76,79.4877,79,83.4535,84,84.5605,86.54,86.545,90,93.6099,94.6935,94.9886,94.8762,..
Austria,AUT,33.7301,39.1855,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.74,80.03,80.6188,80.9958,83.9401,84.3237,87.9356,87.4791,87.7522,87.5294,92.5292,93.6141,95.3347
Azerbaijan,AZE,0.147758,0.305565,4.99971,..,..,8.03038,11.9922,14.54,17.08,27.4,46,50,54.2,73,75,77,78.2,79,79.8,81.1,84.6,86,88,..
"Bahamas, The",BHS,8,11.8,18,20,22,25,26,27,31.54,33.88,43,65,71.7482,72,76.92,78,80,80.6,83,90.6933,92.4437,93.7667,94.4117,..
Bahrain,BHR,6.15373,15.0386,18.0507,21.5549,21.4587,21.3037,28.244,32.91,51.95,53,55,77,88,90,90.5031,93.4783,98,95.8781,98.6447,99.7015,99.671,100,100,100
Bangladesh,BGD,0.0710394,0.129808,0.13992,0.163878,0.199036,0.241637,1,1.8,2.5,3.1,3.7,4.5,5,6.63,11.9,12.9,18.1,21.5,25.6,30.4,36.1091,38.9174,41.6152,44.5027
Barbados,BRB,3.97368,11.9365,27.8363,39.6896,49.8,52.5,55.3,58.2,61.4,64.7,65.1,66.5,71.2,71.8,71.9,72,72.2,72.3,72.4,72.6,72.6766,74.8596,76.2053,..
Belarus,BLR,1.8604,4.30062,8.95097,..,..,..,16.2,19.7,23,27.43,31.8,39.6489,46.91,54.17,59.0163,62.2304,71.113,74.4364,79.1299,82.7892,85.0879,86.8884,89.5073,91.5125
Belgium,BEL,29.4317,31.2884,46.33,49.97,53.86,55.82,61.9819,66.7604,68.8573,74.5441,77.6398,81.61,80.72,82.1702,85.0012,85.0529,86.5165,87.6797,88.6473,90.2754,91.5264,92.7887,94.0078,94.6263
Belize,BLZ,5.96384,..,5.68425,..,9.8,17,24,24.6,26.3,27.2,28.2,30.7,31,33.6,38.7,41.59,44.5757,47.0826,49.8,53.3,57.0987,65.0198,70.354,..
Benin,BEN,0.225248,0.363418,0.702946,0.951327,1.18254,1.27103,1.53785,1.79,1.85,2.24,3.13,4.14832,4.5,4.9,6,11.255,14.5,18.7,19,20.5,22.1206,30.7419,33.7602,..
Bermuda,BMU,42.9499,47.5097,52.0316,56.522,60.9909,65.4471,69.8997,74.3506,82.3,83.25,84.21,88.336,91.2993,95.3,96.8,98.3236,98,98.37,..,..,..,..,..,..
Bhutan,BTN,0.400944,0.864629,1.6758,2.43691,3.15698,3.84711,4.51832,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3,39.8,46.5,54.3,63.5,74.1794,76.8508,85.6369,86.8403,..
Bolivia,BOL,1.44276,2.12046,3.11719,3.5086,4.43992,5.22758,6.20067,10.4992,12.5,16.8,22.4,30,35.34,36.99,34.6016,37.4868,39.6975,43.8323,44.2861,47.4748,59.9401,65.9774,73.2831,..
Bosnia and Herzegovina,BIH,1.08296,1.20053,2.64827,3.96504,15.469,21.3267,25.1224,27.92,34.66,37.74,42.75,43.8877,45.0645,48.5213,49.9177,52.6,60.2565,64.892,70.1201,69.9463,73.2118,75.6762,78.8455,83.3772
Botswana,BWA,2.90267,3.43089,3.38592,3.34519,3.30489,3.26255,4.28993,5.28,6.25,6.15,6,9,16,30,36.7447,37.3121,39.363,41.4138,58,64.8263,67.4756,75.2388,77.3272,..
Brazil,BRA,2.87069,4.52849,9.14943,13.2076,19.0737,21.0227,28.1784,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.551,58.328,60.8725,67.4713,70.4343,73.9124,81.3427,80.6899,80.5278,84.1506
British Virgin Islands,VGB,..,..,18.8857,..,..,..,..,..,..,36,37,37.4,37.6,..,..,..,77.7014,77.7043,..,..,..,..,..,..
Brunei Darussalam,BRN,8.99628,12.9178,15.3299,19.595,29.7156,36.4664,42.1863,44.68,46,49,53,56,60.2731,64.5,68.77,71.2,90,94.8667,95,95,95.0503,95.6225,98.9704,..
Bulgaria,BGR,5.37092,7.6123,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45,46.23,47.98,51.9,53.0615,55.4904,56.6563,59.8255,63.4101,64.782,67.947,70.1625,75.2714,79.1269,80.3896
Burkina Faso,BFA,0.0770802,0.157732,0.200993,0.37344,0.400295,0.469914,0.632708,0.75,0.92,1.13,2.4,3,3.72503,5,6,6.55,7.14,7.79,8.5,9.27181,15.5971,18.114,19.9237,..
Burundi,BDI,0.0772484,0.106001,0.118228,0.201273,0.34906,0.542143,0.657593,0.7,0.81,0.9,1,1.11,1.22,1.26422,1.04239,2,2.2,2.66075,4,6.1,9.17302,10.1846,11.275,..
Cabo Verde,CPV,1.82244,2.68533,3.51876,4.32489,5.31883,6.07409,6.80891,8.28322,14,21,30,32,34.74,37.5,40.26,42.683,50.3228,57.1621,59.5,61.9434,69.3734,71.3752,72.1021,..
Cambodia,KHM,0.0470226,0.0769561,0.226983,0.26057,0.300437,0.317322,0.468357,0.49,0.51,0.53,1.26,3.1,4.94,6,14,6.43319,32.3985,32.9003,..,52.3059,53.6508,55.6004,56.7328,..
Cameroon,CMR,0.25212,0.277051,0.360872,0.587623,0.976075,1.40265,2.02874,2.93,3.4,3.84,4.3,5,7.5,10,16.2149,18.3,20.6,23.203,29.7,36.5392,41.2264,42.5456,43.8629,..
Canada,CAN,51.3,60.2,61.5933,64.2,65.956,71.66,72.4,73.2,76.7,80.3,80.3,83,83,85.8,87.12,90,91.16,92.7014,94.64,91.9129,92.3,93.2917,94,..
Cayman Islands,CYM,..,..,..,..,..,38.0344,44.5,52,61,64.5,66,69.4659,69.7,71.4,74.1,77,79,81.0677,..,..,..,..,..,..
Central African Republic,CAF,0.0533942,0.0785434,0.128537,0.151563,0.223401,0.268196,0.311159,0.375816,1,1.8,2,2.2,2.4,2.5,2.7,2.9,3.1,4,5.1,7.50916,8.56567248,10.5826396,..,..
Chad,TCD,0.0357071,0.0459341,0.16607,0.320309,0.36092,0.399258,0.581046,0.847225,1.19,1.5,1.7,1.9,2.1,2.5,2.9,3.5,5.8,6.4,7,7.6,8.34311,11.0057,12.1839,..
Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,16.6,19.1,22.1,25.4738,28.1779,31.1753,34.4978,35.9,37.3,41.56,45,52.2496,55.05,58,61.11,76.6296,83.5586,82.3275,84.9,85.0176,87.4593,88.8045,90.6769,94.1192
China,CHN,1.77591,2.63965,4.5957,6.2,7.3,8.52326,10.5232,16,22.6,28.9,34.3,38.3,42.3001,45.8,47.9,50.3,53.2,54.3,59.2,64.0809,70.0528,73.0532,75.6113,77.4827
Colombia,COL,2.20753,2.8542,4.6,7.38892,9.11869,11.0073,15.3417,21.8,25.6,30,36.5,40.3509,48.98,51.7,52.5681,55.905,58.1365,62.2599,64.1264,65.0069,69.7953,73.0284,72.7964,..
Comoros,COM,0.271741,0.443068,0.55487,0.848189,1.32733,2,2.2,2.5,3,3.5,5.1,5.5,5.9753,6.5,6.98,7.45916,7.93832,8.47817,..,16.3838,21.1632152,27.3369432,..,..
"Congo, Dem. Rep.",COD,0.00590211,0.0114758,0.0927907,0.134915,0.196208,0.238038,0.296054,0.37,0.44,0.56,0.72,1.2,1.67996,2.2,3,3.8,10.1,8.6199,11.7,16.4812,19.8388,26.17,27.24,..
"Congo, Rep.",COG,0.0263547,0.0322236,0.15725,0.460014,1.0775,1.46342,2.00799,2.7597,4.28751,4.5,5,5.6,6.1067,6.6,7.11,7.61597,8.12195,8.65,..,..,24.8206,32.7417,36.2469,..
Costa Rica,CRI,5.80025,9.55948,19.8949,20.3336,20.7923,22.07,25.1,28.4,32.29,34.33,36.5,39.2122,47.5,45.96,53,59.763,65.8804,71.5817,73.4797,81.2026,80.5302,82.749,82.598,85.127
Cote d'Ivoire,CIV,0.231462,0.395748,0.497929,0.75867,0.849282,1.03924,1.5249,1.8,1.9,2,2.7,2.9,4.4,6.6,10,38.44,41.2078,43.8399,37.5465,36.289,36.0166,38.7504,38.4133,..
Croatia,HRV,6.64488,11.5586,17.76,22.75,30.91,33.14,37.98,41.44,44.24,50.58,56.55,57.79,61.94,66.7476,68.5679,69.845,72.6973,67.0962,75.2946,79.0798,78.3209,81.254,82.0716,83.2412
Cuba,CUB,0.541183,1.07975,3.77059,5.24127,8.40798,9.73806,11.1596,11.69,12.94,14.33,15.9,16.0173,21.2,27.93,29.0702,37.3051,42.9787,57.1484,62.6789,67.9708,71.1191,67.6435,73.2178,..
Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.8555,68.1272,..,..,..,..,..,..
Cyprus,CYP,15.2554,18.8188,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.8599,60.6899,65.4548,69.3287,71.7157,75.9002,80.7432,84.4336,86.0636,90.8019,90.7595,89.601,91.2212
Czechia,CZE,9.78053,14.6972,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43,74.1104,74.2317,75.6688,76.4812,78.7192,80.6882,80.8669,81.3389,82.6706,84.5401,85.9941
Denmark,DNK,39.1724,42.9575,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81,92.26,94.6297,95.9935,96.3305,96.9678,97.0994,97.3192,98.0464,96.5491,98.8659,97.8601,98.7756
Djibouti,DJI,0.194501,0.343526,0.486972,0.62594,0.781317,0.953611,1.27004,1.62,2.26,4,6.5,7,9.4,12.7,17,22.9,30.8,55.6814,58,59.342,62.5104,64.0414,65.0322,..
Dominica,DMA,8.81484,13.2452,18.4249,23.6204,30.3196,38.5436,39.3982,40.2745,41.16,42.02,47.45,48.6,49.8,51,57.5,65,67.03,69.6197,..,73.3819,75.6567,82.3506,83.3767,..
Dominican Republic,DOM,3.70469,4.42939,6.82373,7.89839,8.86555,11.4832,14.8449,17.66,20.82,27.72,31.4,38,42.32,45.9,49.58,54.2158,63.8709,67.5712,74.822,79.7155,81.6173,85.243,84.3832,..
Ecuador,ECU,1.46219,2.67044,4.2608,4.46023,4.83444,5.99426,7.2,10.8,18.8,24.6,29.03,31.3668,35.1351,40.2791,45.5904,48.9404,54.0629,55.8,57.5,59.2,70.7,70.2073,69.7181,72.6943
"Egypt, Arab Rep.",EGY,0.641265,0.838946,2.72,4.03789,11.92,12.75,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,33.8946,37.8194,41.2481,44.9502,46.9243,57.2829,71.9142,72.056,72.1981,..
El Salvador,SLV,1.1774,1.5,1.9,2.5,3.2,4.2,5.5,6.11,10.08,12.11,15.9,18.9,20.3214,23.1093,24.7617,26.8026,28.9971,33.8207,43.8,50.4912,54.6014,58.5986,62.8885,..
Equatorial Guinea,GNQ,0.132355,0.16526,0.321198,0.520524,0.84393,1.14979,1.27919,1.55712,1.82,2.13,6,11.5,13.9432,16.4,18.86,21.32,23.78,26.24,..,49.1337,55.0013,60.5587,66.8193,..
Eritrea,ERI,0.136712,0.157815,0.22709,..,..,..,..,0.41,0.47,0.54,0.61,0.7,0.8,0.9,0.99,1.08373,1.17712,2.5,5.3,11.2,23.8002,25.0991,26.5942,..
Estonia,EST,28.577,31.5275,41.52,45.32,53.2,61.45,63.51,66.19,70.58,72.5,74.1,76.5,78.3899,80.0043,84.2415,88.4097,87.2402,88.1025,89.357,90.2289,89.0583,90.9797,91.5202,93.1834
Eswatini,SWZ,0.926192,1.28159,1.8162,2.43707,3.22869,3.69696,3.69654,4.1,6.85,8.94,11.04,18.13,20.7818,24.7,25,25.643,28.57,35.3,39.4,43.9,49.013,56.1988,58.2502,..
Ethiopia,ETH,0.0152638,0.0371624,0.0724023,0.105812,0.155335,0.21966,0.310593,0.37,0.45,0.54,0.75,1.1,2.9,4.6,7.7,13.8552,15.3669,15.6,15.9,16,16.0696,16.6981,19.3781,..
Faroe Islands,FRO,32.9164,43.247,53.2992,58.9126,66.5336,67.9026,69.3594,75.98,75.57,75.18,75.2,80.7322,85.3352,90,93.3,94.2,95.1087,97.582,..,..,..,..,..,..
Fiji,FJI,1.49685,1.85798,6.15265,6.72543,7.41294,8.45364,9.60004,10.8978,13,17,20,28,33.7424,35.2,37.4,42.5,49.42,65.78,68.9,77.1867,83.0267,81.9,85.2199,..
Finland,FIN,37.2485,43.1054,62.43,69.22,72.39,74.48,79.66,80.78,83.67,82.49,86.89,88.71,89.88,91.5144,86.5304,86.4221,87.7036,87.4689,88.89,89.6074,92.1703,92.8081,92.9888,93.5139
France,FRA,14.3079,26.3259,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,77.28,77.82,81.44,81.9198,83.7511,78.006,79.2698,80.5025,82.0432,83.3397,84.7064,86.0955,85.3333,86.8364
French Polynesia,PYF,6.35706,6.25159,8.20022,14.1243,17.8845,21.5422,25.108,28.59,33.87,44.6,49,49,52.8766,56.8,60.68,64.5602,68.4404,72.7039,..,..,..,..,..,..
Gabon,GAB,1.21614,1.34762,1.93953,2.65959,2.97907,4.89326,5.4892,5.767,7.5,9.5,13,18,24,30.538,38.0712,45.7845,48.0523,50.3201,59.6,68.6855,72.2754,73.1414,73.6951,..
"Gambia, The",GMB,0.921795,1.33679,1.79678,2.43678,3.308,3.799,5.23769,6.20504,6.88,7.63,9.2,10.8703,12.4492,14,15.56,17.6,19.9,22.5,28.3,35.6,44.8133,49.6646,54.1899,..
Georgia,GEO,0.484746,0.992344,1.58788,2.55882,3.88622,6.07946,7.52688,8.26,10.01,20.07,26.9,31.52,36.94,43.3,49.1025,47.5698,58.4593,59.7055,62.7179,68.8467,72.5316,76.4427,78.7113,81.8842
Germany,DEU,30.2163,31.6509,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,81.27,82.35,84.17,86.1937,87.5898,84.1652,84.3942,87.0371,88.1345,89.8129,91.4306,91.6298,92.4764
Ghana,GHA,0.153615,0.200008,0.830284,1.19306,1.7168,1.8312,2.72318,3.85,4.27,5.44,7.8,9,10.6,15,19,23,28,37.8842,43,22.0732,62.5176,68.6,69.8405,..
Gibraltar,GIB,19.1316,21.1711,23.6702,28.3258,32.8861,39.0701,45.2986,51.61,58,65.07,65,65,65.017,..,..,..,94.4445,..,..,..,..,..,..,..
Greece,GRC,9.13884,10.935,14.67,17.8,21.42,24,32.25,35.88,38.2,42.4,44.4,51.65,55.07,59.8663,63.2073,66.835,69.0879,69.893,72.2384,75.6712,78.1158,78.4943,83.1707,85.0102
Greenland,GRL,31.7478,35.4641,44.1548,54.5343,56.099,57.7034,59.3617,61.07,62.82,62.83,63,64,64.896,65.8,66.7,67.6004,68.5009,69.4825,..,..,..,..,..,..
Grenada,GRD,4.06391,5.1281,14.7588,18.6452,19.5706,20.4878,21.396,22.29,23.18,24.05,27,30,32,35,51.6,52.5,53.3,54.2,61.4,69.6122,73.2676,71.1154,79.8955,..
Guam,GUM,16.1131,25.3802,31.1923,33.7167,36.1618,38.5599,43.8514,46.1505,48.4187,50.642,54.04,57.7,61.5342,65.4,69.27,73.14,77.01,80.5055,..,..,..,..,..,..
Guatemala,GTM,0.712333,1.7382,3.39175,4.54885,5.1,5.7,6.5,7.3,8.3,9.3,10.5,12.3,16,19.7,23.4,28.8059,34.5093,37.9,41.5,44.401,47.5123,50.8416,54.4043,..
Guinea,GIN,0.0954249,0.175542,0.402023,0.45096,0.508819,0.542254,0.637492,0.780025,0.92,0.94,1,2,3.1,4.5,6.4,9.2,13.1,18.7,21.83,23.3663,29.3934,31.311,33.923,..
Guinea-Bissau,GNB,0.230103,0.299569,1.02299,1.3542,1.80814,1.90137,2.0572,2.2063,2.35489,2.30328,2.45,2.672,2.89399,3.1,3.32,6.1,13.8,14.8,15.7,22.9201,28.1686,28.5397,31.567,..
Guyana,GUY,0.6,1,1.5,2.4,3.7,5.7,8.9,13.8,18.2,23.9,29.9,30,30.5,31,32,34,35.66,42.7,51.1,61.1,73.1413,81.0716,85.3163,..
Haiti,HTI,0.231271,0.340832,0.893433,1.64736,5.40126,6.3762,6.796,7.2,7.6,8.1,8.37,9,9.8,10.6,11.4,14.2,22.8,27.2,32.4736,39.262,36.394748,38.9450183,..,..
Honduras,HND,1.20386,1.41528,2.5974,4.8,5.6,6.5,7.8,9.4,9.6,9.8,11.09,15.9,18.12,17.8,23,27.1395,29.5282,31.7358,36.0401,39.3884,45.2483,51.9801,59.7135,..
"Hong Kong SAR, China",HKG,27.8278,38.6714,43.0824,52.2,56.3999,56.9,60.8,64.8,66.7,69.4,72,72.2,72.9,74.2,79.8663,84.9484,87.4794,89.4159,90.5074,91.7434,92.4131,93.0872,95.6136,..
Hungary,HUN,6.99968,14.5286,16.67,21.63,27.74,38.97,47.06,53.3,61,62,65,68.02,70.58,72.6439,75.6532,72.8347,79.2594,76.7505,76.0744,80.3717,84.7712,88.6408,89.1428,91.4501
Iceland,ISL,44.4705,49.393,79.12,83.14,83.88,87,89.51,90.6,91,93,93.39,94.8197,96.2098,96.5468,98.158,98.2,98.24,98.2552,99.011,99.5049,99.5328,99.687,99.8565,..
India,IND,0.527532,0.660146,1.53788,1.68649,1.97614,2.38807,2.8055,3.95,4.38,5.12,7.5,10.07,11.1,12.3,13.5,14.9,16.5,18.2,20.0813,29.5235,43.4054,..,..,..
Indonesia,IDN,0.925564,2.01861,2.13414,2.38702,2.60029,3.60202,4.76481,5.78627,7.91748,6.92,10.92,12.28,14.52,14.94,17.1432,22.0627,25.4474,32.3358,39.9046,47.6906,53.7265,62.1045,66.4846,69.2084
"Iran, Islamic Rep.",IRN,0.93419,1.48422,4.62618,6.93372,7.49,8.1,8.76,9.47,12.02,13.8,15.9,19,22.73,29.95,39.3536,45.335,53.2268,64.044,70.2006,72.4509,75.5699,78.5957,81.717,..
Iraq,IRQ,..,0.1,0.5,0.6,0.9,0.9,0.952344,0.93,1,1.06,2.5,5,7.1,9.2,11.6453,15.2,19.9,49.36,33.9,44.3263,53.6778,65.0022,78.7156,..
Ireland,IRL,17.8505,23.1388,25.85,34.31,36.99,41.61,54.82,61.1583,65.34,67.38,69.85,74.89,76.92,78.2477,83.4917,83.4948,83.5,84.114,87.0001,87.0001,91.9999,94.456,95.5905,..
Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,20.8738,17.3786,17.7646,19.5934,22.7705,25.194,27.8811,48.1281,59.39,63.12,67.5,68.8739,70.8,70.2503,75.0178,77.3521,79.6531,81.5812,83.7332,86.7879,90.1273,90.2969,91.8508,..
Italy,ITA,23.1109,27.2221,28.04,29.04,33.24,35,37.99,40.79,44.53,48.83,53.68,54.39,55.83,58.4593,55.6385,58.1417,61.3243,63.0773,74.3872,67.8507,70.4834,74.8623,85.0607,87.0278
Jamaica,JAM,3.11578,3.86302,6.1,7.8,10,12.8,16.4,21.1,23.6,24.3,27.67,37.4386,33.79,37.1,40.4027,42.2212,44.3669,55.0721,68.2145,70.841,76.384,82.3607,85.1185,..
Japan,JPN,29.9907,38.5321,46.5942,48.4353,62.3939,66.9211,68.6853,74.3,75.4,78,78.21,79.0541,79.4964,88.2194,89.1068,91.058,93.1827,91.7265,88.7464,92.7304,90.2195,82.9141,84.9234,..
Jordan,JOR,2.62328,4.70572,6.02553,8.46601,11.6587,12.9329,13.8671,20,23,26,27.2,34.9,37,41.4,46.2,54.22,56.15,64.5,65.2,70.0847,78.4178,86,90.5,..
Kazakhstan,KAZ,0.668594,1.00612,1.67477,2.00041,2.65039,2.96171,3.26837,4.02,11,18.2,31.6,50.6,61.9066,63.3042,66,70.8299,74.5877,76.4267,78.9039,81.8776,85.9426,90.924,92.2969,92.8785
Kenya,KEN,0.31806,0.619782,1.20777,2.9419,3.02353,3.1019,3.6,4.4,5.2,6.1,7.2,8.8,10.5,13,16.5,16.5879,16.6,17.8271,19.5,22.6688,27.5774,38.2459,40.8137,..
Kiribati,KIR,1.78523,2.33746,2.5,3,3.5,4,4.5,6,7,8.97,9.07,10,10.7468,11.5,12.25,14.9,19.4194,25.3096,32.9864,42.9917,52.0585,54.0494,54.4214,..
"Korea, Dem. People's Rep.",PRK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,44.7,56.6,59.4,65.5,72.7,73.5,78.1,78.8,81,81.6,83.7,83.7591,84.07,84.77,87.5568,89.8963,92.843,95.0694,96.0229,96.1576,96.5051,97.5713,97.1686,97.416
Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.8936,89.443,..,..,..,..,..
Kuwait,KWT,6.7314,8.55179,10.249,22.4029,22.9271,25.9261,28.7912,34.8,42,50.8,61.4,65.7691,70.45,75.46,78.7,82,85.6,98,99.5988,99.5427,99.1059,99.7,99.8436,99.7473
Kyrgyz Republic,KGZ,1.0414,3.00294,2.99927,3.90877,5.09039,10.5338,12.3069,14.03,15.7,16,16.3,17.5,19.8,23,28.3,30.247,40.5,50.8,62.8,64.1,72,74.6424,79.7703,..
